ID,Name,Keywords,CodeString,MasterID
1,length,"misc,raw,lengthDependent",ST_length,1
2,mean,"distribution,location,raw,locationDependent",DN_mean,5
3,harmonic_mean,"distribution,location,raw,locationDependent",DN_hmean,6
4,median,"distribution,location,raw,locationDependent",DN_median,8
5,trimmed_mean_1,"distribution,location,raw,locationDependent",DN_TrimmedMean_1,17
6,trimmed_mean_5,"distribution,location,raw,locationDependent",DN_TrimmedMean_5,18
7,trimmed_mean_10,"distribution,location,raw,locationDependent",DN_TrimmedMean_10,19
8,trimmed_mean_25,"distribution,location,raw,locationDependent",DN_TrimmedMean_25,20
9,trimmed_mean_50,"distribution,location,raw,locationDependent",DN_TrimmedMean_50,21
10,midhinge,"distribution,location,raw,locationDependent",DN_midhinge,9
11,maximum,"distribution",DN_max,3
12,miminmum,"distribution",DN_min,4
13,rms,"distribution,location,raw,locationDependent,spreadDependent",DN_rms,7
14,burstiness_Goh,"distribution,raw,locationDependent,spreadDependent",DN_burstiness.B,2
15,burstiness_Kim,"distribution,raw,locationDependent,spreadDependent",DN_burstiness.B_Kim,2
16,standard_deviation,"distribution,spread,raw,spreadDependent",DN_Spread_std,22
17,mean_absolute_deviation,"distribution,spread,raw,spreadDependent",DN_Spread_mad,23
18,interquartile_range,"distribution,spread,raw,spreadDependent",DN_Spread_iqr,24
19,median_absolute_deviation,"distribution,spread,raw,spreadDependent",DN_Spread_mead,25
20,DN_Moments_3,"distribution,moment,shape",DN_Moments_3,26
21,DN_Moments_4,"distribution,moment,shape",DN_Moments_4,27
22,DN_Moments_5,"distribution,moment,shape",DN_Moments_5,28
23,DN_Moments_6,"distribution,moment,shape",DN_Moments_6,29
24,DN_Moments_7,"distribution,moment,shape",DN_Moments_7,30
25,DN_Moments_8,"distribution,moment,shape",DN_Moments_8,31
26,DN_Moments_9,"distribution,moment,shape",DN_Moments_9,32
27,DN_Moments_10,"distribution,moment,shape",DN_Moments_10,33
28,DN_Moments_11,"distribution,moment,shape",DN_Moments_11,34
29,DN_Moments_raw_3,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_3,35
30,DN_Moments_raw_4,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_4,36
31,DN_Moments_raw_5,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_5,37
32,DN_Moments_raw_6,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_6,38
33,DN_Moments_raw_7,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_7,39
34,DN_Moments_raw_8,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_8,40
35,DN_Moments_raw_9,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_9,41
36,DN_Moments_raw_10,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_10,42
37,DN_Moments_raw_11,"distribution,moment,shape,raw,spreadDependent",DN_Moments_raw_11,43
38,skewness_pearson,"distribution,moment,shape,raw,locationDependent",DN_CustomSkewness_pearson,44
39,skewness_bowley,"distribution,moment,shape",DN_CustomSkewness_bowley,45
40,coeff_var_1,"distribution,spread,cv,raw,locationDependent,spreadDependent",DN_cv_1,87
41,coeff_var_2,"distribution,spread,cv,raw,locationDependent,spreadDependent",DN_cv_2,88
42,DN_HistogramMode_5,"distribution",DN_HistogramMode_5,10
43,DN_HistogramMode_10,"distribution",DN_HistogramMode_10,11
44,DN_HistogramMode_21,"distribution",DN_HistogramMode_21,12
45,DN_HistogramMode_abs_5,"distribution",DN_HistogramMode_abs_5,13
46,DN_HistogramMode_abs_10,"distribution",DN_HistogramMode_abs_10,14
47,DN_HistogramMode_abs_21,"distribution",DN_HistogramMode_abs_21,15
48,DN_HistogramAsymmetry_11_densityDiff,"distribution",DN_HistogramAsymmetry_11.densityDiff,16
49,DN_HistogramAsymmetry_11_modeProbPos,"distribution",DN_HistogramAsymmetry_11.modeProbPos,16
